Comment,Designator,Footprint,LCSC
MMBF170,Q1,SOT-23,C130879
100nF,"C1,C3,C8,C9",C_0603_1608Metric,C14663
1nF,"C5,C6",C_0603_1608Metric,C1588
470pF,"C4,C7",C_0603_1608Metric,C1620
47uF,C2,C_0805_2012Metric,C16780
1,R1,R_0603_1608Metric,C22936
270,R4,R_0603_1608Metric,C22966
2K,R7,R_0603_1608Metric,C22975
3.9k,R2,R_0603_1608Metric,C23018
47,R6,R_0603_1608Metric,C23182
10k,R5,R_0603_1608Metric,C25804
10uH,L1,L_1008_2520Metric,C295709
1.5uH,"L2,L3,L4",L_1210_3225Metric,C318053
SW_SPST,SW1,SW_SPST_SKQG_WithoutStem,C318884
10k,R3,Potentiometer_Bourns_3314J_Vertical,C36376
Conn_01x02,J3,SMA_Amphenol_901-144_Vertical,C504007
1N4148,D1,D_SOD-123F,C81598
LED_Small,LED1,LED_0805_2012Metric,C84256
MountingHole,H7,mousebites,
MountingHole,H6,mousebites,
MountingHole,H2,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H1,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H5,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H4,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H3,MountingHole_3.2mm_M3_DIN965_Pad,
Conn_02x20_Odd_Even,J2,PinSocket_2x20_P2.54mm_Vertical,
TestPoint,TP2,TestPoint_Pad_D1.5mm,
TestPoint,TP1,TestPoint_Pad_D1.5mm,
TestPoint,TP4,TestPoint_Pad_D1.5mm,
TestPoint,TP3,TestPoint_Pad_D1.5mm,
SERIAL,J1,PinHeader_1x04_P2.00mm_Vertical,
