Comment,Designator,Footprint,LCSC
390nH,"L20,L21,L22",L_0805_2012Metric,C108076
470nH,"L17,L18,L19",L_0805_2012Metric,C115159
MMBF170,Q1,SOT-23,C130879
100nF,"C1,C13,C7,C8",C_0603_1608Metric,C14663
1nF,"C12,C15,C16,C9",C_0603_1608Metric,C1588
150pF,"C18,C21,C22,C25",C_0603_1608Metric,C1594
1.5nF,"C3,C6",C_0603_1608Metric,C1595
2nF,"C10,C11",C_0603_1608Metric,C1601
220pF,"C27,C28",C_0603_1608Metric,C1603
3.3nF,"C4,C5",C_0603_1608Metric,C1613
470pF,"C14,C17",C_0603_1608Metric,C1620
330pF,"C19,C20",C_0603_1608Metric,C1664
47uF,C2,C_0805_2012Metric,C16780
120pF,"C26,C29",C_0603_1608Metric,C18438
1uH,"L14,L15,L16",L_0805_2012Metric,C186933
10uH,L2,L_0805_2012Metric,C186939
15uH,L1,L_0805_2012Metric,C186940
1,R1,R_0603_1608Metric,C22936
270,R4,R_0603_1608Metric,C22966
2K,R7,R_0603_1608Metric,C22975
3.9k,R2,R_0603_1608Metric,C23018
47,R6,R_0603_1608Metric,C23182
2.7uH,L4,L_0805_2012Metric,C251853
10k,R5,R_0603_1608Metric,C25804
5.6uH,"L3,L5,L6,L7",L_0805_2012Metric,C280493
SW_SPST,SW1,SW_SPST_SKQG_WithoutStem,C318884
10k,R3,Potentiometer_Bourns_3314J_Vertical,C36376
270nF,"C23,C24",C_0603_1608Metric,C376826
1.5uH,"L11,L12,L13",L_0805_2012Metric,C393989
2.2uH,"L10,L8,L9",L_0805_2012Metric,C494719
Conn_01x02,J3,SMA_Amphenol_901-144_Vertical,C504007
Conn_02x06_Odd_Even,"J1,J4,J5",PinHeader_2x06_P2.00mm_Vertical,C541867
1N4148,D1,D_SOD-123F,C81598
LED_Small,LED1,LED_0805_2012Metric,C84256
MountingHole,H7,mousebites,
MountingHole,H6,mousebites,
MountingHole,H2,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H1,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H5,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H4,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H3,MountingHole_3.2mm_M3_DIN965_Pad,
Conn_02x20_Odd_Even,J2,PinSocket_2x20_P2.54mm_Vertical,
SERIAL,J6,PinHeader_1x04_P2.00mm_Vertical,
TestPoint,TP2,TestPoint_Pad_D1.5mm,
TestPoint,TP1,TestPoint_Pad_D1.5mm,
TestPoint,TP4,TestPoint_Pad_D1.5mm,
TestPoint,TP3,TestPoint_Pad_D1.5mm,
