Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,100.75,-61.0,-90.0,top
C2,47uF,C_0805_2012Metric,98.75,-61.25,-90.0,top
C3,1.5nF,C_0603_1608Metric,85.5,-77.0,180.0,top
C4,3.3nF,C_0603_1608Metric,78.5,-77.0,180.0,top
C5,3.3nF,C_0603_1608Metric,71.5,-77.0,180.0,top
C6,1.5nF,C_0603_1608Metric,64.5,-77.0,180.0,top
C7,100nF,C_0603_1608Metric,94.25,-71.0,180.0,top
C8,100nF,C_0603_1608Metric,85.25,-59.0,180.0,top
C9,1nF,C_0603_1608Metric,85.5,-75.0,180.0,top
C10,2nF,C_0603_1608Metric,78.5,-75.0,180.0,top
C11,2nF,C_0603_1608Metric,71.5,-75.0,180.0,top
C12,1nF,C_0603_1608Metric,64.5,-75.0,180.0,top
C13,100nF,C_0603_1608Metric,64.75,-58.5,90.0,top
C14,470pF,C_0603_1608Metric,85.5,-73.0,180.0,top
C15,1nF,C_0603_1608Metric,78.5,-73.0,180.0,top
C16,1nF,C_0603_1608Metric,71.5,-73.0,180.0,top
C17,470pF,C_0603_1608Metric,64.5,-73.0,180.0,top
C18,150pF,C_0603_1608Metric,85.5,-71.000001,180.0,top
C19,330pF,C_0603_1608Metric,78.5,-71.0,180.0,top
C20,330pF,C_0603_1608Metric,71.5,-71.000001,180.0,top
C21,150pF,C_0603_1608Metric,64.5,-71.0,180.0,top
C22,150pF,C_0603_1608Metric,85.5,-69.0,180.0,top
C23,270nF,C_0603_1608Metric,78.5,-69.000001,180.0,top
C24,270nF,C_0603_1608Metric,71.5,-69.0,180.0,top
C25,150pF,C_0603_1608Metric,64.500001,-69.0,180.0,top
C26,120pF,C_0603_1608Metric,85.5,-66.999999,180.0,top
C27,220pF,C_0603_1608Metric,78.5,-67.0,180.0,top
C28,220pF,C_0603_1608Metric,71.500001,-67.0,180.0,top
C29,120pF,C_0603_1608Metric,64.5,-67.0,180.0,top
D1,1N4148,D_SOD-123F,60.75,-59.25,-90.0,top
J1,Conn_02x06_Odd_Even,PinHeader_2x06_P2.00mm_Vertical,99.750001,-77.25,180.0,top
J2,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical,58.4,-54.79,-90.0,bottom
J3,Conn_01x02,SMA_Amphenol_901-144_Vertical,55.0,-61.25,-90.0,top
J4,Conn_02x06_Odd_Even,PinHeader_2x06_P2.00mm_Vertical,90.750001,-77.25,180.0,top
J5,Conn_02x06_Odd_Even,PinHeader_2x06_P2.00mm_Vertical,61.250001,-77.25,180.0,top
L1,15uH,L_0805_2012Metric,103.249999,-77.25,180.0,top
L2,10uH,L_0805_2012Metric,103.25,-74.25,180.0,top
L3,5.6uH,L_0805_2012Metric,103.25,-70.25,180.0,top
L4,2.7uH,L_0805_2012Metric,103.25,-67.25,180.0,top
L5,5.6uH,L_0805_2012Metric,82.0,-77.25,180.0,top
L6,5.6uH,L_0805_2012Metric,75.0,-77.25,180.0,top
L7,5.6uH,L_0805_2012Metric,68.0,-77.25,180.0,top
L8,2.2uH,L_0805_2012Metric,82.0,-75.25,180.0,top
L9,2.2uH,L_0805_2012Metric,75.0,-75.25,180.0,top
L10,2.2uH,L_0805_2012Metric,68.0,-75.25,180.0,top
L11,1.5uH,L_0805_2012Metric,82.0,-73.25,180.0,top
L12,1.5uH,L_0805_2012Metric,75.0,-73.25,180.0,top
L13,1.5uH,L_0805_2012Metric,68.0,-73.25,180.0,top
L14,1uH,L_0805_2012Metric,82.0,-71.25,180.0,top
L15,1uH,L_0805_2012Metric,75.0,-71.25,180.0,top
L16,1uH,L_0805_2012Metric,68.0,-71.25,180.0,top
L17,470nH,L_0805_2012Metric,82.0,-69.25,180.0,top
L18,470nH,L_0805_2012Metric,75.0,-69.25,180.0,top
L19,470nH,L_0805_2012Metric,68.0,-69.25,180.0,top
L20,390nH,L_0805_2012Metric,82.0,-67.25,180.0,top
L21,390nH,L_0805_2012Metric,75.0,-67.25,180.0,top
L22,390nH,L_0805_2012Metric,68.0,-67.25,180.0,top
LED1,LED_Small,LED_0805_2012Metric,78.0,-57.5,180.0,top
Q1,MMBF170,SOT-23,94.25,-68.0,-90.0,top
R1,1,R_0603_1608Metric,96.75,-61.0,-90.0,top
R2,3.9k,R_0603_1608Metric,95.0,-61.0,90.0,top
R3,10k,Potentiometer_Bourns_3314J_Vertical,90.5,-60.75,-90.0,top
R4,270,R_0603_1608Metric,74.0,-57.5,180.0,top
R5,10k,R_0603_1608Metric,85.25,-60.75,180.0,top
R6,47,R_0603_1608Metric,85.25,-62.5,0.0,top
R7,2K,R_0603_1608Metric,63.0,-58.5,-90.0,top
SW1,SW_SPST,SW_SPST_SKQG_WithoutStem,105.75,-61.25,90.0,top
