Comment,Designator,Footprint,LCSC
MMBF170,Q1,SOT-23,C130879
100nF,"C1,C13,C7,C8",C_0603_1608Metric,C14663
1nF,"C15,C16",C_0603_1608Metric,C1588
150pF,"C18,C21",C_0603_1608Metric,C1594
470pF,"C14,C17",C_0603_1608Metric,C1620
330pF,"C19,C20",C_0603_1608Metric,C1664
47uF,C2,C_0805_2012Metric,C16780
10uH,L2,L_0805_2012Metric,C186939
1,R1,R_0603_1608Metric,C22936
270,R4,R_0603_1608Metric,C22966
2K,R7,R_0603_1608Metric,C22975
3.9k,R2,R_0603_1608Metric,C23018
47,R6,R_0603_1608Metric,C23182
10k,R5,R_0603_1608Metric,C25804
5.6uH,L3,L_0805_2012Metric,C280493
I2C,J6,PinHeader_2x03_P2.54mm_Vertical,C2830004
Conn_02x01,"J1,J4,J5,J7,J8,J9",PinSocket_2x01_P2.00mm_Vertical,C2883055
1uH,"L14,L15,L16",L_0805_2012Metric,C295706
Conn_02x20_Odd_Even,J2,PinSocket_2x20_P2.54mm_Vertical,C2974713
SW_SPST,SW1,SW_SPST_SKQG_WithoutStem,C318884
10k,R3,Potentiometer_Bourns_3314J_Vertical,C36376
1.5uH,"L11,L12,L13",L_0805_2012Metric,C393989
Conn_01x02,J3,SMA_Amphenol_901-144_Vertical,C504007
1N4148,D1,D_SOD-123F,C81598
LED_Small,LED1,LED_0805_2012Metric,C84256
MountingHole,H7,mousebites,
MountingHole,H6,mousebites,
MountingHole,H2,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H1,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H5,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H4,MountingHole_3.2mm_M3_DIN965_Pad,
MountingHole,H3,MountingHole_3.2mm_M3_DIN965_Pad,
TestPoint,TP1,TestPoint_Pad_D1.5mm,
TestPoint,TP3,TestPoint_Pad_D1.5mm,
